species,id,age_bin,total_scans,feeding_scans,travel_scans,social_scans,social_adjusted_scans
bonobo,Dju,0--18,1618,662,316,272,137
bonobo,Gwe,0--18,3493,1415,386,720,334
bonobo,Iri,0--18,2794,993,471,579,307
bonobo,Nin,0--18,2621,1089,370,367,52
bonobo,Olg,0--18,1425,383,202,95,5
bonobo,Uma,0--18,2122,707,400,367,155
bonobo,Wma,0--18,2717,1198,586,366,122
bonobo,Zoe,0--18,1314,604,225,140,57
bonobo,Pol,18--36,2196,969,490,279,93
bonobo,Sus,18--36,1969,834,478,223,55
bonobo,Uma,18--36,2950,1143,430,582,141
bonobo,Wma,18--36,1382,562,289,138,20
bonobo,Gwe,36--54,1245,613,175,107,53
bonobo,Lna,36--54,1832,1069,317,88,32
bonobo,Olg,36--54,2520,1139,529,386,128
bonobo,Pau,36--54,2702,1182,512,354,78
bonobo,Rio,36--54,1386,519,275,193,8
chimpanzee,BAH,0--18,1979,928,387,190,51
chimpanzee,EOW,0--18,1320,316,231,241,181
chimpanzee,EZA,0--18,3081,1417,496,484,377
chimpanzee,FN,0--18,540,79,96,50,24
chimpanzee,GA,0--18,2725,1354,380,438,195
chimpanzee,GM,0--18,3373,1122,552,681,408
chimpanzee,IMA,0--18,1408,369,233,263,89
chimpanzee,SI,0--18,1313,558,195,225,100
chimpanzee,TG,0--18,1773,741,150,220,109
chimpanzee,DL,18--36,1380,638,275,243,141
chimpanzee,GLD,18--36,3329,1808,698,416,342
chimpanzee,GLI,18--36,5054,2792,859,412,313
chimpanzee,BAH,36--54,1829,747,371,161,132
chimpanzee,FN,36--54,1559,550,337,200,114
chimpanzee,GLD,36--54,1632,590,222,378,335
chimpanzee,GLI,36--54,2330,1254,313,193,110
chimpanzee,NUR,36--54,2166,1068,328,321,210