Focal ID,Species,Community,Date,i.halfday,Number female party members,Number oservations,Number MTF cathegory,Percentage MTF precent in party,Percentage only females,Percentage alone,Percentage Samesex,Proportion feeding time monthly
15,bonobo,LK_West,42064,to_check,4.429,7,1,0.714,0.142857143,0,0.142857143,0.399620095
28,bonobo,LK_West,42065,morning,0.889,9,1,0.000,0,0,0,0.399620095
34,bonobo,LK_West,42068,afternoon,1.111,9,0,0.000,0,0,0,0.427567965
13,bonobo,LK_West,42069,morning,5.000,10,2,0.800,0,0,0,0.427567965
28,bonobo,LK_West,42072,morning,9.800,15,0,0.000,0,0,0,0.420114321
15,bonobo,LK_West,42073,afternoon,3.429,7,0,0.000,0.142857143,0,0.142857143,0.420114321
25,bonobo,LK_West,42074,morning,1.000,11,0,0.000,0.545454545,0.545454545,0.545454545,0.416497958
4,bonobo,LK_West,42075,morning,3.000,12,0,0.000,0,0,0,0.416497958
15,bonobo,LK_West,42078,morning,3.000,9,0,0.000,0,0,0,0.416497958
7,bonobo,LK_West,42081,morning,1.000,6,0,0.000,0,0,0,0.395512347
30,bonobo,LK_West,42083,to_check,3.000,14,0,0.000,0,0,0,0.419585737
7,bonobo,LK_West,42089,morning,3.222,9,0,0.000,0,0,0,0.515880654
20,bonobo,LK_West,42095,afternoon,2.143,7,0,0.000,0,0,0,0.488685072
12,bonobo,LK_West,42096,morning,2.800,10,0,0.000,0,0,0,0.492103281
22,bonobo,LK_West,42097,morning,4.000,5,0,0.000,0,0,0,0.488823713
30,bonobo,LK_West,42099,morning,1.000,12,0,0.000,0,0,0,0.481132478
7,bonobo,LK_West,42101,morning,2.000,11,0,0.000,0,0,0,0.481132478
13,bonobo,LK_West,42106,morning,4.909,11,1,0.000,0,0,0,0.516011624
15,bonobo,LK_West,42107,to_check,4.000,14,1,1.000,0,0,0,0.487122436
14,bonobo,LK_West,42111,morning,4.000,14,0,0.000,0,0,0,0.468807317
17,bonobo,LK_West,42112,to_check,3.625,16,0,0.000,0,0,0,0.454901175
34,bonobo,LK_West,42118,morning,3.364,11,0,0.000,0,0,0,0.365122168
20,bonobo,LK_West,42126,morning,5.250,12,2,1.000,0,0,0,0.383277261
12,bonobo,LK_West,42127,morning,5.000,2,0,0.000,0,0,0,0.373885867
13,bonobo,LK_West,42128,morning,6.750,12,0,0.000,0,0,0,0.366764567
12,bonobo,LK_West,42133,morning,4.455,11,0,0.000,0.090909091,0,0.090909091,0.377091438
20,bonobo,LK_West,42135,morning,4.000,3,0,0.000,0,0,0,0.396366153
13,bonobo,LK_West,42136,morning,3.500,2,0,0.000,0,0,0,0.39008753
30,bonobo,LK_West,42136,morning,3.364,11,0,0.000,0,0,0,0.39008753
20,bonobo,LK_West,42137,morning,3.000,4,0,0.000,0,0,0,0.381874306
4,bonobo,LK_West,42142,morning,3.000,4,0,0.000,0,0,0,0.424409639
28,bonobo,LK_West,42144,morning,4.000,9,1,1.000,0,0,0,0.455037171
20,bonobo,LK_West,42146,morning,2.778,9,0,0.000,0.333333333,0,0.333333333,0.48185589
30,bonobo,LK_West,42149,morning,2.000,13,0,0.000,1,0,1,0.47434256
15,bonobo,LK_West,42151,morning,4.364,11,0,0.000,0,0,0,0.476032638
14,bonobo,LK_West,42153,morning,4.600,10,0,0.000,0,0,0,0.486977797
7,bonobo,LK_West,42154,morning,4.143,14,0,0.000,0,0,0,0.486977797
22,bonobo,LK_West,42156,morning,6.091,11,0,0.000,0,0,0,0.498033707
25,bonobo,LK_West,42157,morning,7.167,6,0,0.000,0,0,0,0.498033707
13,bonobo,LK_West,42157,morning,4.600,5,0,0.000,0,0,0,0.498033707
17,bonobo,LK_West,42161,morning,3.667,12,0,0.000,0,0,0,0.473339329
34,bonobo,LK_West,42163,morning,5.000,12,0,0.000,0,0,0,0.476525778
7,bonobo,LK_West,42177,afternoon,3.000,6,1,0.000,1,0,1,0.438262989
14,bonobo,LK_West,42178,morning,3.000,13,1,1.000,1,0,1,0.413682244
15,bonobo,LK_West,42179,morning,3.000,12,1,1.000,1,0,1,0.404474698
7,bonobo,LK_West,42181,morning,3.000,15,0,0.000,1,0,1,0.407566633
25,bonobo,LK_West,42186,afternoon,3.286,7,2,0.571,0.285714286,0.285714286,0.285714286,0.437061809
34,bonobo,LK_West,42193,morning,8.214,14,2,0.714,0,0,0,0.42051127
17,bonobo,LK_West,42196,afternoon,7.000,4,2,1.000,0,0,0,0.424279891
4,bonobo,LK_West,42197,morning,7.538,13,2,1.000,0,0,0,0.41647857
12,bonobo,LK_West,42198,morning,8.000,15,1,1.000,0,0,0,0.41647857
30,bonobo,LK_West,42206,afternoon,1.000,3,0,0.000,0,0,0,0.388634963
25,bonobo,LK_West,42207,morning,1.000,13,0,0.000,0,0,0,0.367971801
30,bonobo,LK_West,42217,morning,6.000,6,2,1.000,0,0,0,0.262421349
28,bonobo,LK_West,42222,morning,1.000,11,0,0.000,1,0,1,0.272518682
15,bonobo,LK_West,42224,afternoon,4.000,3,2,1.000,0,0,0,0.252884562
7,bonobo,LK_West,42224,afternoon,4.000,2,2,1.000,0,0,0,0.252884562
20,bonobo,LK_West,42226,morning,6.750,8,2,1.000,0,0,0,0.261781183
14,bonobo,LK_West,42229,morning,4.000,6,2,1.000,0.666666667,0,0.666666667,0.243518269
4,bonobo,LK_West,42232,morning,12.000,4,2,1.000,0,0,0,0.232456233
25,bonobo,LK_West,42236,afternoon,0.000,4,0,0.000,1,1,1,0.219250313
25,bonobo,LK_West,42237,morning,0.000,11,0,0.000,1,1,1,0.219250313
13,bonobo,LK_West,42243,to_check,4.750,12,2,0.167,0.083333333,0.083333333,0.083333333,0.223777142
22,bonobo,LK_West,42245,morning,9.000,3,2,1.000,0,0,0,0.215295136
15,bonobo,LK_West,42246,morning,8.778,9,2,1.000,0,0,0,0.215295136
25,bonobo,LK_West,42258,morning,5.300,10,2,1.000,0.4,0,0.4,0.22523561
7,bonobo,LK_West,42259,morning,7.077,13,2,0.538,0,0,0,0.217907547
12,bonobo,LK_West,42266,morning,8.583,12,2,1.000,0,0,0,0.271526487
14,bonobo,LK_West,42267,morning,9.500,2,2,1.000,0,0,0,0.271803176
28,bonobo,LK_West,42267,morning,3.000,2,1,0.000,0,0,0,0.271803176
20,bonobo,LK_West,42269,afternoon,8.429,7,2,1.000,0,0,0,0.286469119
17,bonobo,LK_West,42270,morning,6.769,13,2,1.000,0,0,0,0.291838987
28,bonobo,LK_West,42273,morning,4.000,11,0,0.000,0.909090909,0,0.909090909,0.288478675
28,bonobo,LK_West,42274,morning,0.000,13,0,0.000,1,1,1,0.294598497
4,bonobo,LK_West,42276,morning,3.615,13,1,0.923,0.076923077,0.076923077,0.076923077,0.300910914
13,bonobo,LK_West,42278,morning,4.000,13,0,0.000,0,0,0,0.301182833
20,bonobo,LK_West,42279,morning,2.308,13,0,0.000,0.076923077,0,0.076923077,0.290309109
17,bonobo,LK_West,42280,afternoon,4.000,8,0,0.000,0.625,0,0.625,0.297071274
20,bonobo,LK_West,42283,morning,4.000,3,0,0.000,0,0,0,0.302819369
4,bonobo,LK_West,42283,afternoon,4.000,9,0,0.000,0,0,0,0.302819369
13,bonobo,LK_West,42284,morning,4.000,13,0,0.000,0,0,0,0.2920291
13,bonobo,LK_West,42285,afternoon,4.000,8,0,0.000,0,0,0,0.286111908
22,bonobo,LK_West,42290,morning,5.556,9,0,0.000,0,0,0,0.305917178
14,bonobo,LK_West,42290,morning,11.333,3,0,0.000,0,0,0,0.305917178
25,bonobo,LK_West,42292,morning,5.231,13,0,0.000,0.230769231,0.230769231,0.230769231,0.304109825
7,bonobo,LK_West,42293,morning,7.000,12,2,1.000,0,0,0,0.305033136
14,bonobo,LK_West,42294,morning,7.000,11,0,0.000,0,0,0,0.298316518
34,bonobo,LK_West,42295,afternoon,13.000,3,2,1.000,0,0,0,0.310929189
22,bonobo,LK_West,42296,morning,13.000,10,2,1.000,0,0,0,0.301519714
30,bonobo,LK_West,42298,morning,2.000,7,2,0.143,0.857142857,0.857142857,0.857142857,0.293355302
22,bonobo,LK_West,42306,morning,3.500,10,2,1.000,0,0,0,0.324275967
4,bonobo,LK_West,42306,morning,7.667,3,2,1.000,0,0,0,0.324275967
4,bonobo,LK_West,42310,afternoon,4.600,10,1,0.000,0,0,0,0.339706496
34,bonobo,LK_West,42311,morning,6.333,9,2,0.889,0,0,0,0.340869574
17,bonobo,LK_West,42315,afternoon,3.000,3,0,0.000,0.333333333,0,0.333333333,0.373438666
25,bonobo,LK_West,42318,morning,1.000,12,0,0.000,1,0,1,0.369028036
7,bonobo,LK_West,42319,to_check,5.318,22,2,1.000,0,0,0,0.3764526
4,bonobo,LK_West,42321,morning,4.000,8,0,0.000,0,0,0,0.375294272
13,bonobo,LK_West,42324,afternoon,14.500,8,2,1.000,0,0,0,0.382923176
20,bonobo,LK_West,42327,afternoon,10.000,9,2,1.000,0,0,0,0.378643946
22,bonobo,LK_West,42328,morning,8.308,13,1,0.846,0,0,0,0.375680316
13,bonobo,LK_West,42330,afternoon,7.500,10,2,1.000,0,0,0,0.396057618
12,bonobo,LK_West,42331,morning,4.875,8,1,0.500,0,0,0,0.391967427
34,bonobo,LK_West,42335,afternoon,8.300,10,2,0.800,0,0,0,0.379140317
12,bonobo,LK_West,42338,afternoon,6.900,10,2,1.000,0,0,0,0.359430196
30,bonobo,LK_West,42341,morning,1.000,12,0,0.000,1,0,1,0.350889406
20,bonobo,LK_West,42343,morning,9.778,9,2,1.000,0,0,0,0.345764635
34,bonobo,LK_West,42345,morning,7.000,10,2,1.000,0,0,0,0.357251397
17,bonobo,LK_West,42346,morning,5.071,14,2,1.000,0,0,0,0.359532437
14,bonobo,LK_West,42348,afternoon,15.000,3,2,1.000,0,0,0,0.365069741
22,bonobo,LK_West,42348,afternoon,12.000,3,2,1.000,0,0,0,0.365069741
12,bonobo,LK_West,42349,afternoon,12.250,8,2,1.000,0,0,0,0.369942986
15,bonobo,LK_West,42352,afternoon,5.889,9,2,1.000,0,0,0,0.348772239
28,bonobo,LK_West,42357,afternoon,11.889,9,2,1.000,0,0,0,0.350460779
25,bonobo,LK_West,42358,to_check,1.400,20,1,0.200,0.8,0.8,0.8,0.350460779
17,bonobo,LK_West,42360,afternoon,5.500,10,0,0.000,0,0,0,0.3515049
17,bonobo,LK_West,42361,morning,5.000,3,2,0.333,0.333333333,0,0.333333333,0.352708107
4,bonobo,LK_West,42363,morning,6.750,12,1,0.500,0.333333333,0,0.333333333,0.361804278
34,bonobo,LK_West,42368,afternoon,9.000,2,0,0.000,0,0,0,0.408853126
34,bonobo,LK_West,42397,morning,7.000,4,0,0.000,0,0,0,0.484688571
14,bonobo,LK_West,42398,afternoon,3.714,7,0,0.000,0,0,0,0.473808711
15,bonobo,LK_West,42399,afternoon,8.400,10,1,1.000,0,0,0,0.473808711
22,bonobo,LK_West,42400,morning,7.800,5,1,0.000,0,0,0,0.473808711
20,bonobo,LK_West,42400,morning,4.000,2,1,0.500,0.5,0,0.5,0.473808711
13,bonobo,LK_West,42405,afternoon,9.222,9,1,1.000,0,0,0,0.494313478
14,bonobo,LK_West,42412,morning,2.700,10,1,0.900,0,0,0,0.500436231
34,bonobo,LK_West,42480,morning,9.143,7,0,0.000,0,0,0,0.433411422
4,bonobo,LK_West,42504,afternoon,3.600,10,0,0.000,0,0,0,0.408255551
20,bonobo,LK_West,42508,morning,1.833,12,0,0.000,0,0,0,0.40275452
14,bonobo,LK_West,42966,morning,3.000,2,0,0.000,0,0,0,0.459241268
30,bonobo,LK_West,42974,afternoon,1.455,11,0,0.000,0,0,0,0.407405576
13,bonobo,LK_West,42976,afternoon,4.750,8,1,1.000,0,0,0,0.397921463
14,bonobo,LK_West,42980,afternoon,6.143,7,1,1.000,0,0,0,0.388885654
22,bonobo,LK_West,42980,morning,2.167,6,1,1.000,0.5,0,0.5,0.388885654
14,bonobo,LK_West,42982,afternoon,0.909,11,0,0.000,0,0,0,0.416792625
28,bonobo,LK_West,42983,morning,7.643,14,0,0.000,0,0,0,0.423109346
15,bonobo,LK_West,42985,morning,0.222,9,0,0.000,1,0.777777778,1,0.423109346
4,bonobo,LK_West,42989,afternoon,2.909,11,0,0.000,0,0,0,0.484828164
22,bonobo,LK_West,42990,morning,5.769,13,0,0.000,0,0,0,0.491852652
34,bonobo,LK_West,42998,afternoon,4.400,5,0,0.000,0,0,0,0.495710651
7,bonobo,LK_West,43001,afternoon,3.000,7,0,0.000,0,0,0,0.582640701
17,bonobo,LK_West,43001,morning,4.000,3,0,0.000,0,0,0,0.582640701
28,bonobo,LK_West,43003,morning,1.308,13,0,0.000,1,0,1,0.570157528
7,bonobo,LK_West,43004,afternoon,2.000,7,0,0.000,0,0,0,0.555874797
22,bonobo,LK_West,43007,afternoon,0.000,4,0,0.000,0,0,0,0.575398718
34,bonobo,LK_West,43009,afternoon,3.091,11,0,0.000,0,0,0,0.571508167
12,bonobo,LK_West,43015,to_check,4.467,15,0,0.000,0,0,0,0.491834238
30,bonobo,LK_West,43017,morning,7.923,13,0,0.000,0,0,0,0.488966358
7,bonobo,LK_West,43018,afternoon,7.000,7,0,0.000,0,0,0,0.488966358
13,bonobo,LK_West,43019,morning,4.500,12,0,0.000,0,0,0,0.476527662
4,bonobo,LK_West,43024,afternoon,1.111,9,0,0.000,0.444444444,0.333333333,0.444444444,0.427982938
4,bonobo,LK_West,43025,to_check,1.700,10,0,0.000,0.3,0,0.3,0.411171535
15,bonobo,LK_West,43027,to_check,2.000,16,0,0.000,0,0,0,0.403075785
4,bonobo,LK_West,43030,morning,2.000,4,0,0.000,0,0,0,0.367625837
17,bonobo,LK_West,43031,afternoon,2.700,10,0,0.000,0.1,0,0.1,0.345919431
34,bonobo,LK_West,43034,morning,2.154,13,0,0.000,0,0,0,0.338828726
20,bonobo,LK_West,43036,afternoon,1.800,10,0,0.000,0,0,0,0.319810768
34,bonobo,LK_West,43040,morning,1.750,12,0,0.000,0,0,0,0.309423491
17,bonobo,LK_West,43050,afternoon,2.000,6,0,0.000,0.333333333,0.166666667,0.333333333,0.276784672
22,bonobo,LK_West,43055,afternoon,1.000,8,0,0.000,0,0,0,0.27224543
34,bonobo,LK_West,43056,morning,2.917,12,0,0.000,0.083333333,0,0.083333333,0.285134929
22,bonobo,LK_West,43060,morning,2.400,5,0,0.000,0.6,0,0.6,0.289558246
15,bonobo,LK_West,43061,morning,0.000,5,0,0.000,1,1,1,0.294717104
17,bonobo,LK_West,43064,morning,2.000,8,0,0.000,0.625,0,0.625,0.287965944
12,bonobo,LK_West,43068,afternoon,1.000,8,0,0.000,0,0,0,0.302204335
12,bonobo,LK_West,43069,morning,1.846,13,0,0.000,0.230769231,0.076923077,0.230769231,0.302204335
25,bonobo,LK_West,43069,afternoon,2.667,6,0,0.000,0.166666667,0,0.166666667,0.302204335
28,bonobo,LK_West,43070,afternoon,1.900,10,0,0.000,0,0,0,0.302204335
14,bonobo,LK_West,43071,afternoon,3.400,5,0,0.000,0,0,0,0.30011703
30,bonobo,LK_West,43073,afternoon,1.833,6,0,0.000,0,0,0,0.295314691
20,bonobo,LK_West,43074,morning,1.167,12,0,0.000,0,0,0,0.298960039
30,bonobo,LK_West,43075,morning,0.400,10,0,0.000,0.6,0.5,0.6,0.298074441
4,bonobo,LK_West,43078,afternoon,0.000,7,0,0.000,1,1,1,0.326468998
4,bonobo,LK_West,43079,morning,0.000,2,0,0.000,1,1,1,0.321257142
25,bonobo,LK_West,43080,afternoon,0.000,7,0,0.000,0.142857143,0.142857143,0.142857143,0.319866171
23,chimpanzees,Tai_East,42404,to_check,1.333,21,0,0.000,0,0,0,0.391375293
6,chimpanzees,Tai_East,42406,to_check,2.000,25,0,0.000,0.44,0,0.44,0.391375293
29,chimpanzees,Tai_East,42408,to_check,3.650,20,0,0.000,0.75,0.15,0.75,0.383001656
23,chimpanzees,Tai_East,42413,morning,3.000,2,0,0.000,0,0,0,0.357102134
19,chimpanzees,Tai_East,42419,to_check,5.190,21,0,0.000,0,0,0,0.347827413
33,chimpanzees,Tai_East,42427,to_check,7.190,21,1,0.429,0,0,0,0.327863823
23,chimpanzees,Tai_East,42432,to_check,0.000,21,0,0.000,0,0,0,0.309545705
2,chimpanzees,Tai_East,42436,to_check,5.875,16,1,0.000,0.0625,0,0.0625,0.315441508
19,chimpanzees,Tai_East,42436,afternoon,2.000,6,0,0.000,1,0,1,0.315441508
6,chimpanzees,Tai_East,42437,morning,6.600,10,0,0.000,0.1,0,0.1,0.316121013
32,chimpanzees,Tai_East,42445,to_check,2.688,16,0,0.000,0.3125,0.25,0.3125,0.351784648
19,chimpanzees,Tai_East,42454,morning,8.800,10,0,0.000,0,0,0,0.365756821
6,chimpanzees,Tai_East,42454,afternoon,6.364,11,0,0.000,0.090909091,0,0.090909091,0.365756821
32,chimpanzees,Tai_East,42455,afternoon,5.222,9,0,0.000,0,0,0,0.365756821
3,chimpanzees,Tai_East,42455,morning,6.500,10,0,0.000,0.1,0,0.1,0.365756821
3,chimpanzees,Tai_East,42461,morning,1.818,11,0,0.000,0.545454545,0.181818182,0.545454545,0.321795297
32,chimpanzees,Tai_East,42461,afternoon,1.500,8,0,0.000,1,0,1,0.321795297
19,chimpanzees,Tai_East,42475,afternoon,3.000,8,2,0.500,0.125,0,0.125,0.252181974
32,chimpanzees,Tai_East,42479,morning,3.333,3,0,0.000,0,0,0,0.206145124
29,chimpanzees,Tai_East,42479,to_check,0.900,20,0,0.000,1,0.1,1,0.206145124
19,chimpanzees,Tai_East,42491,morning,4.875,8,2,0.875,0.125,0,0.125,0.199065977
6,chimpanzees,Tai_East,42497,afternoon,4.800,5,0,0.000,0,0,0,0.174067334
6,chimpanzees,Tai_East,42519,morning,3.727,11,1,0.000,0,0,0,0.283638671
32,chimpanzees,Tai_East,42519,afternoon,4.143,7,1,0.571,0,0,0,0.283638671
2,chimpanzees,Tai_East,42524,afternoon,4.727,11,2,0.909,0,0,0,0.295018175
19,chimpanzees,Tai_East,42524,morning,3.200,10,2,0.800,0,0,0,0.295018175
2,chimpanzees,Tai_East,42527,morning,7.250,12,2,1.000,0,0,0,0.309227749
3,chimpanzees,Tai_East,42527,afternoon,5.917,12,2,1.000,0.083333333,0,0.083333333,0.309227749
19,chimpanzees,Tai_East,42541,to_check,0.000,8,0,0.000,0.125,0.125,0.125,0.31485833
6,chimpanzees,Tai_East,42557,morning,2.818,11,0,0.000,0.181818182,0,0.181818182,0.374348313
19,chimpanzees,Tai_East,42557,afternoon,3.111,9,0,0.000,0.111111111,0,0.111111111,0.374348313
19,chimpanzees,Tai_East,42558,morning,2.000,3,0,0.000,0,0,0,0.372582394
6,chimpanzees,Tai_East,42560,afternoon,0.000,13,0,0.000,0,0,0,0.396991911
6,chimpanzees,Tai_East,42561,morning,0.600,5,0,0.000,0,0,0,0.401703333
19,chimpanzees,Tai_East,42562,to_check,3.700,10,1,0.900,0.2,0,0.2,0.42724577
3,chimpanzees,Tai_East,42562,morning,2.100,10,1,0.000,0.8,0.4,0.8,0.42724577
32,chimpanzees,Tai_East,42563,morning,1.000,10,1,0.600,0,0,0,0.43871628
6,chimpanzees,Tai_East,42567,morning,1.250,8,0,0.000,0.25,0.125,0.25,0.4704318
2,chimpanzees,Tai_East,42567,to_check,0.917,12,0,0.000,0.916666667,0.166666667,0.916666667,0.4704318
3,chimpanzees,Tai_East,42568,morning,1.200,10,1,0.000,0.6,0,0.6,0.471625388
32,chimpanzees,Tai_East,42568,afternoon,1.545,11,1,1.000,1,0,1,0.471625388
6,chimpanzees,Tai_East,42571,afternoon,2.273,11,0,0.000,0.545454545,0,0.545454545,0.45233672
